Client,PR_Number,PR_Item,Doc_Type,Purch_Group,Description,Material,Plant,Quantity,UOM,Delivery_Date,Valuation_Price,Price_Unit,Desired_Vendor,Purch_Org,Info_Record,PO_Number,PO_Date,PO_Quantity
100,4345690911,10,NB,7EF,LIGATURCLIP MED.LARGE 20 MAGAZ.=120 ST.,PL568T,DE01,"      45.760,000",ST,05.07.2024,"        61,69",20.0,,DEA1,5301133479.0,4515042057.0,26.02.2024,"      45.760,000"
100,4363838894,10,NB,7EF,LIGATURCLIP MED.LARGE 20 MAGAZ.=120 ST.,PL568T,DE01,"      45.760,000",ST,28.08.2024,"        61,69",20.0,,DEA1,5301133479.0,4515191011.0,23.04.2024,"      45.760,000"
100,4364138582,10,NB,7EF,LIGATURCLIP MED.LARGE 20 MAGAZ.=120 ST.,PL568T,DE01,"      45.760,000",ST,21.08.2024,"        61,69",20.0,,,,4515190991.0,23.04.2024,"      45.760,000"
100,4364138960,10,NB,7EF,LIGATURCLIP MED.LARGE 20 MAGAZ.=120 ST.,PL568T,DE01,"      45.760,000",ST,21.08.2024,"        61,69",20.0,,,,4515190994.0,23.04.2024,"      45.760,000"
100,4364139057,10,NB,7EF,LIGATURCLIP MED.LARGE 20 MAGAZ.=120 ST.,PL568T,DE01,"      45.760,000",ST,21.08.2024,"        61,69",20.0,,,,4515190998.0,23.04.2024,"      45.760,000"
100,4364139303,10,NB,7EF,LIGATURCLIP MED.LARGE 20 MAGAZ.=120 ST.,PL568T,DE01,"      45.760,000",ST,21.08.2024,"        61,69",20.0,,,,4515191007.0,23.04.2024,"      45.760,000"
100,4364145574,10,NB,7EF,LIGATURCLIP MED.LARGE 20 MAGAZ.=120 ST.,PL568T,DE01,"      45.760,000",ST,21.08.2024,"        61,69",20.0,,,,4515191003.0,23.04.2024,"      45.760,000"
100,4364145575,10,NB,7EF,LIGATURCLIP MED.LARGE 20 MAGAZ.=120 ST.,PL568T,DE01,"      45.760,000",ST,21.08.2024,"        61,69",20.0,,,,4515191008.0,23.04.2024,"      45.760,000"
100,4364145576,10,NB,7EF,LIGATURCLIP MED.LARGE 20 MAGAZ.=120 ST.,PL568T,DE01,"      45.760,000",ST,21.08.2024,"        61,69",20.0,,,,4515191010.0,23.04.2024,"      45.760,000"
100,4436770943,10,NB,7EF,LIGATURCLIP MED.LARGE 20 MAGAZ.=120 ST.,PL568T,DE01,"      45.760,000",ST,06.08.2025,"        61,62",20.0,,DEA1,5301133479.0,4515751710.0,10.12.2024,"      45.760,000"
100,4475499324,10,NB,7EF,LIGATURCLIP MED.LARGE 20 MAGAZ.=120 ST.,PL568T,DE01,"      45.760,000",ST,30.07.2025,"        60,92",20.0,,,,4516078097.0,23.04.2025,"      45.760,000"
100,4475499325,10,NB,7EF,LIGATURCLIP MED.LARGE 20 MAGAZ.=120 ST.,PL568T,DE01,"      45.760,000",ST,27.08.2025,"        60,92",20.0,,,,4516078101.0,23.04.2025,"      45.760,000"
100,4475499326,10,NB,7EF,LIGATURCLIP MED.LARGE 20 MAGAZ.=120 ST.,PL568T,DE01,"      45.760,000",ST,24.09.2025,"        60,92",20.0,,,,4516078102.0,23.04.2025,"      45.760,000"
100,4475499327,10,NB,7EF,LIGATURCLIP MED.LARGE 20 MAGAZ.=120 ST.,PL568T,DE01,"      45.760,000",ST,08.10.2025,"        60,92",20.0,,,,4516078103.0,23.04.2025,"      45.760,000"
100,4475499328,10,NB,7EF,LIGATURCLIP MED.LARGE 20 MAGAZ.=120 ST.,PL568T,DE01,"      45.760,000",ST,12.11.2025,"        60,92",20.0,,,,4516078105.0,23.04.2025,"      45.760,000"
100,4475499329,10,NB,7EF,LIGATURCLIP MED.LARGE 20 MAGAZ.=120 ST.,PL568T,DE01,"      45.760,000",ST,10.12.2025,"        60,92",20.0,,,,4516078110.0,23.04.2025,"      45.760,000"
100,4546025730,10,NB,7EF,LIGATURCLIP MED.LARGE 20 MAGAZ.=120 ST.,PL568T,DE01,"      45.760,000",ST,25.11.2026,"        61,34",20.0,,DEA1,5301133479.0,4516638109.0,09.12.2025,"      45.760,000"
100,4546245893,10,NB,7EF,LIGATURCLIP MED.LARGE 20 MAGAZ.=120 ST.,PL568T,DE01,"      45.760,000",ST,22.12.2028,"        61,34",20.0,,DEA1,5301133479.0,4516638113.0,09.12.2025,"      45.760,000"
